127.0.0.1 - - [02/Nov/2022:02:23:57 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:23:58 +0530] "GET /ServletProject/ HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:24:02 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:40 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:41 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:41 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:42 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:54 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:26:54 +0530] "GET /ServletProject/home HTTP/1.1" 200 7418
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:28:15 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:28:27 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:28:27 +0530] "GET /ServletProject/home HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:28:40 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:28:41 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:29:44 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:29:46 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:31:20 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:31:23 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:31:23 +0530] "GET /ServletProject/null/welcome HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:34:33 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:34:35 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:34:35 +0530] "GET /ServletProject/null/welcome HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:34:54 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:34:57 +0530] "POST /ServletProject/login HTTP/1.1" 500 1332
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:35:20 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:35:23 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:35:23 +0530] "GET /welcome HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:36:17 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:36:20 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:36:20 +0530] "GET /welcome HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:37:17 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:37:19 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:37:35 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:37:45 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:40:43 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:40:45 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:42:06 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:42:17 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:42:30 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:43:24 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:43:33 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:47:21 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:47:24 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:48:08 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:48:24 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:49:26 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:49:36 +0530] "POST /ServletProject/login HTTP/1.1" 200 -
